episode_id,anchor_label,approved_quote,quote_word_count,relevant_element,recommended_public_location,why_this_quote_helps,public_note
1.01,Progressive knotting,"this is not a disentanglement from, but a progressive knotting into",11,M08,Episode detail panel,Syntactic inversion mirrors the preterite condition — escape negated; entrapment affirmed.,Elect/preterite theology at the novel's threshold.
1.01,Brennschluss,"Brennschluss. We don't have one. Or else it's classified.",9,M06,Episode detail panel,The Allied intelligence gap as linguistic gap — technical vocabulary as institutional power.,Corporate-military knowledge regime in nine words.
1.01,Faster than sound,"It travels faster than the speed of sound. The first news you get of it is the blast.",17,M07,Episode detail panel,The V-2's epistemological inversion: death precedes its own announcement.,The rocket's core physics — effect before cause.
1.04,Hardon correlation,"a peculiar sensitivity to what is revealed in the sky. (But a hardon?)",12,P01/M09,Episode detail panel,Names the body/rocket correlation — the novel's founding anomaly that launches the entire pursuit.,The datum that starts everything.
1.04,Rocket with his name,"He has become obsessed with the idea of a rocket with his name written on it",15,P01/M07,Episode detail panel,Pursuit and paranoia in one sentence — the personalisation of mass death.,The sentence the entire P01 plotline unpacks.
1.04,Never quite to the zero,"in infinite series just perceptibly, term by term, dying . . . but never quite to the zero",15,M01,Episode detail panel,Mathematical entropy as familial dissolution — the asymptotic limit the novel's title inverts.,Science-control mode as the Slothrop genealogy's thermodynamics.
1.14,Blicero triad,"His time away, with Katje and Gottfried, has become shorter and more precious as the tempo of firings quickens.",19,P02,Episode detail panel,Intimacy compressed by Rocket firing rhythm — the triad's temporal condition.,A compact marker for the Blicero triad.
1.14,Fairy-tale template,"the strayed children, the wood-wife in the edible house, the captivity, the fattening, the Oven",16,P02,Episode detail panel,Litany naming the Maerchen template that structures the entire Blicero/Katje/Gottfried triangle.,Fairy-tale as sacrificial script.
1.14,Doomed as dodoes,"Are they Elect, or are they Preterite, and doomed as dodoes?",11,species_extinction/M08,Episode detail panel,The elect-preterite theological question applied directly to the act of extermination — colonisers and dodos in the same soteriological framework.,Genocide as theology — the dodo subplot's hinge.
1.16,Roger and Jessica,"They are in love. Fuck the war.",7,P06,Episode detail panel,The romance counterpoint's sharpest hinge: private attachment against wartime machinery.,Roger/Jessica emotional counterpoint.
2.01,Puritan reflex of paranoia,"a Puritan reflex of seeking other orders behind the visible, also known as paranoia",14,P01/M01,Episode detail panel,The novel's most concise definition of its own epistemology — triggered as Slothrop senses the apparatus.,Names the novel's governing epistemic mode.
2.01,Waiting for a first rocket,"perversely he waits for a sudden noise to begin his day, a first rocket",13,P01,Episode detail panel,Conditioned London reflex persisting on the Riviera — the stimulus-response pattern has followed him south.,The body's conditioning survives the move to the Zone.
2.07,Imipolex file,"nothing more—or less—sinister than a new plastic, an aromatic heterocyclic polymer",11,P04,Episode detail panel,Turns the system-revelation anchor into material evidence: the Rocket plot is also chemistry and corporate file.,Names the Imipolex discovery as chemistry.
3.01,Entering the Zone,"Signs will find him here in the Zone, and ancestors will reassert themselves.",13,P01,Episode detail panel,Names the Zone as a field of signs and recurrence — transition into Part III.,Marks Zone entry as a shift into signs and inheritance.
3.01,Planchette on a Ouija board,"skidded out onto the Zone like a planchette on a Ouija board",12,P01/M05,Episode detail panel,Zone arrival as occult automatism — Slothrop is moved through rather than entering.,Pursuit becoming passive medium.
3.01,Forget frontiers,"Forget frontiers now. Forget subdivisions. There aren't any.",8,M06,Episode detail panel,Three sentences of decreasing length enacting the erasure they describe — the Zone's dissolution of sovereignty.,Dissolved borders enabling Part 3's picaresque.
3.01,Crippled military rage,"leaving in their crippled military rage pieces, modules, airframe sections, batteries rotting",13,M06/P01,Episode detail panel,Rocket infrastructure decomposing into readable ruin — the corporate body's death as pursuit-object.,Infrastructure as debris trail.
3.05,Tchitcherine's east,"In and out of all the vibrant flesh moves the mad scavenger Tchitcherine",13,P07,Episode detail panel,Gives Tchitcherine a kinetic anchor inside the eastern movement of the novel.,Anchors Tchitcherine in motion through the sequence.
3.11,Pokler and the Rocket,"Pökler was an extension of the Rocket, long before it was ever built.",13,P04,Episode detail panel,Explains why the Pokler episode sits so heavily in the score: family history bound to Rocket design.,Family and Rocket as one continuous line.
3.11,Gift of Daedalus,"the gift of Daedalus that allowed him to put as much labyrinth as required between himself and the inconveniences of caring",21,P04/M06,Episode detail panel,Engineering skill as moral distance — professional competence as the architecture of avoidance.,Technical complicity as labyrinth-building.
3.11,Persistence of vision,"love something like the persistence of vision, for They have used it to create for him the moving image of a daughter",22,P04/M03,Episode detail panel,The daughter as cinematic illusion — one frame per summer; love as the projector mechanism.,Film/body mode literalised through family loss.
3.11,The other side of this,"All his vacuums, his labyrinths, had been the other side of this",12,P04,Episode detail panel,Engineering vocabulary revealed as always structurally adjacent to atrocity — oblique and devastating.,The moment of recognition at Dora.
3.22,Restore us to our Earth,"Somewhere, among the wastes of the World, is the key that will bring us back, restore us to our Earth and to our freedom.",24,P03/M08,Episode detail panel,The counter-text as messianic search — recovery of territory and ontological standing.,The Schwarzkommando search-thesis distilled.
3.22,Weissmann's Dictaphone,"I know what my voice sounds like—heard it at Peenemünde years ago on Weissmann's Dictaphone",16,P03/colonial_genocide,Episode detail panel,Colonial history returning through the coloniser's apparatus — Enzian's voice captured at the rocket facility.,The colonial record inside the rocket programme.
3.22,Doctrine of the Final Zero,"there'll have to be something done about Ombindi, Empty Ones, doctrine of the Final Zero",15,P03/species_extinction,Episode detail panel,Names the factional divide directly — 00001 counter-text vs Final Zero self-extinction.,The internal Schwarzkommando debate.
3.29,Corporate City-state,"a Corporate City-state where technology was the source of power, the engineer worked closely with the administrator",17,P04/M06,Episode detail panel,Metropolis as the fantasy-template that Peenemünde and Mittelwerke will realise.,Film as blueprint for technocratic complicity.
3.29,Toward the inorganic,"move beyond life, toward the inorganic. Here is no frailty, no mortality—here is Strength, and the Timeless",18,P04/M06,Episode detail panel,Jamf converts chemistry into transcendence-rhetoric — the ideological seed of the entire technical programme.,Chemistry as ideology.
3.29,Dramatic connections in dreams,"How could he tell her that the dramatic connections were really all there, in his dreams? How could he tell her anything?",22,P04/M03,Episode detail panel,The marriage fractures because the engineer's inner life is already cinematic — domestic speech fails.,The first irreversible stage of family loss.
4.05,Of course it happened,"Of course it happened. Of course it didn't happen.",9,P02/M07,Episode detail panel,Epistemological impossibility — sacrifice as simultaneously fact and unintegratable event.,The novel's central paradox in nine words.
4.05,Solid arrival of loss,"the sudden, solid arrival of loss, loss forever, the irreversible end of love, of hope",15,P02/M07,Episode detail panel,Irreversibility as physical sensation — loss given mass and weight.,The sacrificial break as embodied event.
4.05,Only have fragments,"Whatever went on on those eyeballs when you weren't looking would just be lost. You'd only have fragments",18,P02/M07,Episode detail panel,Meta-textual: the central event recoverable only as shards — a statement about the novel's own epistemic condition.,The witness can retain only fragments.
4.05,Inside the Oven's warmth,"He only wants now to be out of the winter, inside the Oven's warmth, darkness, steel shelter",16,P02,Episode detail panel,Blicero's death-drive inverts the fairy-tale threat — the Oven becomes consummation. Echoes back to 1.14's fairy-tale template.,Cross-episode echo: 1.14 Maerchen fulfilled in 4.05 launch.
4.06,Late American scatter,"This is only one of many American Mysteries",8,P01/M08,Episode detail panel,Marks the late Part IV scatter as a chain of American fragments.,Frames the late scatter as one among many unresolved fragments.
4.12,Final descent,"The two, boy and Rocket, concurrently designed.",7,P02,Episode detail panel,Compact terminal anchor binding human body and Rocket design in one sentence.,Body and Rocket as concurrent design.
4.12,Screen is a dim page,"The screen is a dim page spread before us, white and silent. The film has broken, or a projector bulb has burned out.",23,P08/M03,Episode detail panel,Screen becomes page — cinema collapses into text at the novel's close; the reader becomes the final audience.,The theatre as reading space.
4.12,Last delta-t,"absolutely and forever without sound, reaches its last unmeasurable gap above the roof of this old theatre, the last delta-t",20,P02/M07,Episode detail panel,The parabola frozen — infinite proximity without contact; annihilation suspended as permanent present tense.,The rocket suspended above the audience.
4.12,Touch the person next to you,"There is time, if you need the comfort, to touch the person next to you, or to reach between your own cold legs",23,M07/M08,Episode detail panel,Narrator addresses the audience directly — reader and theatre-goer become one preterite congregation awaiting descent.,The final direct address to the reader.
